Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
18-Jun-24,EQ,"4,940.00","4,976.00","4,912.55","4,935.10","4,930.00","4,936.10","4,948.22","4,976.00","3,160.00","7,06,641","3,49,66,18,624.85","49,358"
19-Jun-24,EQ,"4,940.00","4,963.70","4,850.00","4,936.10","4,865.00","4,880.75","4,894.46","4,976.00","3,160.00","6,52,617","3,19,42,10,355.85","62,338"
20-Jun-24,EQ,"4,885.35","4,924.90","4,843.05","4,880.75","4,895.00","4,876.90","4,874.92","4,976.00","3,160.00","6,37,364","3,10,70,98,335.70","69,810"
21-Jun-24,EQ,"4,876.90","4,925.30","4,820.00","4,876.90","4,830.30","4,845.50","4,881.31","4,976.00","3,160.00","4,14,677","2,02,41,68,826.35","50,927"
24-Jun-24,EQ,"4,838.00","4,888.70","4,794.20","4,845.50","4,875.00","4,870.90","4,854.18","4,976.00","3,160.00","3,02,473","1,46,82,58,216.50","42,512"
25-Jun-24,EQ,"4,870.90","4,896.00","4,762.05","4,870.90","4,785.00","4,775.05","4,809.22","4,976.00","3,160.00","6,60,144","3,17,47,75,970.15","43,466"
26-Jun-24,EQ,"4,775.05","4,807.40","4,720.00","4,775.05","4,738.00","4,739.70","4,751.86","4,976.00","3,160.00","6,00,784","2,85,48,43,183.10","45,507"
27-Jun-24,EQ,"4,722.00","4,766.45","4,682.05","4,739.70","4,712.05","4,713.80","4,716.69","4,976.00","3,160.00","10,87,487","5,12,93,36,953.05","1,06,336"
28-Jun-24,EQ,"4,713.80","4,733.95","4,655.30","4,713.80","4,667.90","4,672.95","4,684.48","4,976.00","3,160.00","9,39,279","4,40,00,35,451.55","51,220"
1-Jul-24,EQ,"4,640.00","4,729.45","4,626.00","4,672.95","4,630.00","4,635.55","4,650.92","4,976.00","3,160.00","13,64,796","6,34,75,61,146.10","91,866"
2-Jul-24,EQ,"4,635.90","4,699.10","4,592.90","4,635.55","4,634.85","4,625.75","4,626.83","4,976.00","3,160.00","8,65,321","4,00,36,94,690.80","92,168"
3-Jul-24,EQ,"4,643.65","4,703.75","4,638.10","4,625.75","4,700.00","4,692.30","4,683.06","4,976.00","3,160.00","2,57,361","1,20,52,36,970.50","34,022"
4-Jul-24,EQ,"4,692.30","4,725.00","4,662.00","4,692.30","4,685.00","4,689.50","4,691.93","4,976.00","3,160.00","3,13,153","1,46,92,92,345.10","31,878"
